Age;Year;Total
16 to 19;2020;5.54
16 to 19;2019;8.02
16 to 19;2018;7.36
16 to 19;2017;6.63
16 to 19;2016;5.49
16 to 19;2015;4.87
16 to 19;2014;4.64
20 to 24;2020;32.96
20 to 24;2019;38.59
20 to 24;2018;37.91
20 to 24;2017;35.88
20 to 24;2016;32.18
20 to 24;2015;31.43
20 to 24;2014;28.72
25 to 54;2020;73.1
25 to 54;2019;75.75
25 to 54;2018;74.67
25 to 54;2017;73.17
25 to 54;2016;71.49
25 to 54;2015;69.39
25 to 54;2014;67.41
55 and above;2020;24.22
55 and above;2019;23.5
55 and above;2018;22.52
55 and above;2017;21.61
55 and above;2016;20.84
55 and above;2015;19.8
55 and above;2014;18.59